"CODI_ESTACIO","NOM_ESTACIO","CODI_TIPUS","LATITUD","LONGITUD","Georeferència","EMPLACAMENT","ALTITUD","CODI_MUNICIPI","NOM_MUNICIPI","CODI_COMARCA","NOM_COMARCA","CODI_PROVINCIA","NOM_PROVINCIA","CODI_XARXA","NOM_XARXA","CODI_ESTAT","NOM_ESTAT","DATA_ALTA","DATA_BAIXA"
"WZ","Cunit","A","41,20187","1,63346","POINT (1.63346 41.20187)","-","17","430516","Cunit","12","Baix Penedès","43","Tarragona","1","XEMA","2","Operativa","27/06/2006",
"Z1","Bonaigua (2.266 m)","A","42,64691","0,98486","POINT (0.98486 42.64691)","Port de la Bonaigua","2,266","250241","Alt Àneu","26","Pallars Sobirà","25","Lleida","1","XEMA","2","Operativa","06/11/1997",
"YX","Batea","A","41,08307","0,31688","POINT (0.31688 41.08307)","Turó estació transferència","400","430228","Batea","37","Terra Alta","43","Tarragona","1","XEMA","2","Operativa","30/07/2025",
"CN","Guardiola de Berguedà - Escola","A","42,22903","1,87672","POINT (1.87672 42.22903)","Centre d'Assistència Primària","719.8","80996","Guardiola de Berguedà","14","Berguedà","8","Barcelona","1","XEMA","1","Desmantellada","20/02/1996","21/03/2005"
"WN","Montserrat - Sant Dimes","A","41,59539","1,83751","POINT (1.83751 41.59539)","Ermita de Sant Dimes","916","81271","Monistrol de Montserrat","7","Bages","8","Barcelona","1","XEMA","2","Operativa","02/01/2003",
"WW","Artés","A","41,79423","1,9368","POINT (1.9368 41.79423)","Artés","278","80109","Artés","7","Bages","8","Barcelona","1","XEMA","2","Operativa","16/02/2006",
"DK","Torredembarra","A","41,14677","1,41846","POINT (1.41846 41.14677)","Aiguamolls els Muntanyans","2","431536","Torredembarra","36","Tarragonès","43","Tarragona","1","XEMA","2","Operativa","24/11/1999",
"D6","Portbou - coll dels Belitres","A","42,43515","3,16622","POINT (3.16622 42.43515)","Punta de l'Aucell  (zona fronterera)","196","171387","Portbou","2","Alt Empordà","17","Girona","1","XEMA","2","Operativa","25/03/1998",
"VU","Rellinars","A","41,63286","1,91718","POINT (1.91718 41.63286)","Puig de la Ballesta","421","81799","Rellinars","40","Vallès Occidental","8","Barcelona","1","XEMA","2","Operativa","18/02/1998",
"WM","Santuari de Queralt","A","42,10736","1,8267","POINT (1.8267 42.10736)","Santuari de la Mare de Déu de Queralt","1,167","80229","Berga","14","Berguedà","8","Barcelona","1","XEMA","2","Operativa","23/01/2002",
"YU","Cantonigròs","A","42,04265","2,40472","POINT (2.40472 42.04265)","Àrea d'autocaravanes","925","82541","l'Esquirol","24","Osona","8","Barcelona","1","XEMA","2","Operativa","18/02/2025",
"V1","Vallfogona de Balaguer","A","41,78487","0,82939","POINT (0.82939 41.78487)","Escola de Cap. Agrària - Finca l'Empalme","238","252402","Vallfogona de Balaguer","23","Noguera","25","Lleida","1","XEMA","2","Operativa","17/10/1990",
"VD","el Canós","A","41,68939","1,20381","POINT (1.20381 41.68939)","Camí de la Figuerosa","429","259118","Els Plans de Sió","32","Segarra","25","Lleida","1","XEMA","2","Operativa","22/10/1988",
"CX","Vic - 1","A","41,93582","2,23857","POINT (2.23857 41.93582)","Estadi d'atletisme","497.8","82981","Vic","24","Osona","8","Barcelona","1","XEMA","1","Desmantellada","18/01/1996","01/01/2003"
"M6","Sant Joan de les Abadesses","A","42,22189","2,2427","POINT (2.2427 42.22189)","Agrupació Esportiva del Ripollès","730","171674","Sant Joan de les Abadesses","31","Ripollès","17","Girona","1","XEMA","2","Operativa","13/01/1996",
"XI","Mollerussa","A","41,61817","0,87182","POINT (0.87182 41.61817)","-","247","251370","Mollerussa","27","Pla d'Urgell","25","Lleida","1","XEMA","2","Operativa","20/01/2010",
"UH","el Montmell","A","41,34171","1,48769","POINT (1.48769 41.34171)","Finca Vallflor - Aigua Viva","545","430901","El Montmell","12","Baix Penedès","43","Tarragona","1","XEMA","2","Operativa","13/07/1995",
"YT","Bonabé (1.693 m)","A","42,75089","1,07527","POINT (1.07527 42.75089)","Pista de la Mina","1,693","250241","Alt Àneu","26","Pallars Sobirà","25","Lleida","1","XEMA","2","Operativa","19/09/2024",
"KP","Fogars de la Selva","A","41,73894","2,69436","POINT (2.69436 41.73894)","Can Simó","36","80826","Fogars de la Selva","34","Selva","8","Barcelona","1","XEMA","2","Operativa","05/01/1996",
"D5","Barcelona - Observatori Fabra","A","41,41864","2,12379","POINT (2.12379 41.41864)","Observatori Fabra","411","80193","Barcelona","13","Barcelonès","8","Barcelona","1","XEMA","2","Operativa","03/11/1995",
"YH","Pujalt","A","41,71734","1,42403","POINT (1.42403 41.71734)","Observatori de Pujalt","747","81764","Pujalt","6","Anoia","8","Barcelona","1","XEMA","2","Operativa","06/04/2018",
"XO","Vic","A","41,93497","2,23987","POINT (2.23987 41.93497)","Vic","499","82981","Vic","24","Osona","8","Barcelona","1","XEMA","2","Operativa","22/12/2011",
"H1","Òdena","A","41,58642","1,65306","POINT (1.65306 41.58642)","Aeròdrom d'Òdena","333","81430","Òdena","6","Anoia","8","Barcelona","1","XEMA","2","Operativa","31/05/1999",
"DF","la Bisbal d'Empordà","A","41,97751","3,03543","POINT (3.03543 41.97751)","Estació depuradora","28.6","170221","La Bisbal d'Empordà","10","Baix Empordà","17","Girona","1","XEMA","2","Operativa","25/03/1998",
"VC","Pantà de Riba-roja","A","41,24415","0,43266","POINT (0.43266 41.24415)","Presa de Riba-roja","69","431251","Riba-roja d'Ebre","30","Ribera d'Ebre","43","Tarragona","1","XEMA","2","Operativa","18/11/1996",
"VQ","Constantí","A","41,1713","1,16774","POINT (1.16774 41.1713)","IRTA - Centre de Mas Bové. Apt. correus 415","112","430477","Constantí","36","Tarragonès","43","Tarragona","1","XEMA","2","Operativa","29/05/1990",
"XY","Alcarràs","A","41,56509","0,55027","POINT (0.55027 41.56509)","Central del revés","122","250117","Alcarràs","33","Segrià","25","Lleida","1","XEMA","2","Operativa","31/07/2013",
"WP","Canaletes","A","41,48518","1,69337","POINT (1.69337 41.48518)","Camp del Roure - Can Feixes","325","81228","Mediona","3","Alt Penedès","8","Barcelona","1","XEMA","2","Operativa","17/05/2002",
"Z3","Malniu (2.230 m)","A","42,46605","1,7785","POINT (1.7785 42.46605)","Estany de Malniu","2,230","170998","Meranges","15","Cerdanya","17","Girona","1","XEMA","2","Operativa","03/11/1999",
"VS","Lac Redon (2.247 m)","A","42,63835","0,77889","POINT (0.77889 42.63835)","Lac Redon - Tuc deth Pòrt de Vielha","2,247","252430","Vielha e Mijaran","39","Val d'Aran","25","Lleida","1","XEMA","2","Operativa","15/07/1999",
"U6","Vinyols i els Arcs - Cambrils","A","41,08017","1,06661","POINT (1.06661 41.08017)","Casa Sant Josep - Escola la Salle","29","431785","Vinyols i els Arcs","8","Baix Camp","43","Tarragona","1","XEMA","2","Operativa","17/05/1989",
"WR","Torroja del Priorat","A","41,2163","0,79748","POINT (0.79748 41.2163)","Ref.cadastral: Pol. 3, parc. 38","300","431541","Torroja del Priorat","29","Priorat","43","Tarragona","1","XEMA","2","Operativa","27/11/2003",
"DP","Das - Aeròdrom","A","42,38605","1,8664","POINT (1.8664 42.38605)","Aeròdrom de la Cerdanya","1,097","170617","Das","15","Cerdanya","17","Girona","1","XEMA","2","Operativa","22/05/2001",
"YN","Vielha - Elipòrt","A","42,69737","0,80198","POINT (0.80198 42.69737)","Elipòrt de VIelha","1,027","252430","Vielha e Mijaran","39","Val d'Aran","25","Lleida","1","XEMA","2","Operativa","11/03/2021",
"Z8","el Port del Comte (2.316 m)","A","42,18254","1,52407","POINT (1.52407 42.18254)","Port del Comte","2,316","251636","La Coma i la Pedra","35","Solsonès","25","Lleida","1","XEMA","1","Desmantellada","03/10/2002","17/09/2024"
"CI","Sant Pau de Segúries","A","42,25839","2,36429","POINT (2.36429 42.25839)","Estació meteorològica municipal","852","171772","Sant Pau de Segúries","31","Ripollès","17","Girona","1","XEMA","2","Operativa","24/11/1995",
"YF","Miami Platja","A","41,02066","0,9345","POINT (0.9345 41.02066)","Plana dels Penyals","43","430923","Mont-roig del Camp","8","Baix Camp","43","Tarragona","1","XEMA","2","Operativa","20/12/2017",
"YQ","Port de Barcelona - ZAL Prat","A","41,31928","2,1372","POINT (2.1372 41.31928)","Port de Barcelona","6","81691","El Prat de Llobregat","11","Baix Llobregat","8","Barcelona","1","XEMA","2","Operativa","02/12/2021",
"MW","Navès","A","42,00707","1,65239","POINT (1.65239 42.00707)","el Garrigar","545","251462","Navès","35","Solsonès","25","Lleida","1","XEMA","2","Operativa","22/03/2010",
"C7","Tàrrega","A","41,66695","1,16234","POINT (1.16234 41.66695)","Abocador comarcal","427","252173","Tàrrega","38","Urgell","25","Lleida","1","XEMA","2","Operativa","06/11/1995",
"XG","Parets del Vallès","A","41,56734","2,22619","POINT (2.22619 41.56734)","CEIP Pau Vila","123","81593","Parets del Vallès","41","Vallès Oriental","8","Barcelona","1","XEMA","2","Operativa","30/10/2008",
"X8","Barcelona - Zona Universitària","A","41,37919","2,1054","POINT (2.1054 41.37919)","Pistes UB","79","80193","Barcelona","13","Barcelonès","8","Barcelona","1","XEMA","2","Operativa","17/04/2008",
"C6","Castellnou de Seana","A","41,6566","0,95172","POINT (0.95172 41.6566)","Abocador comarcal","264","250680","Castellnou de Seana","27","Pla d'Urgell","25","Lleida","1","XEMA","2","Operativa","16/12/1995",
"UR","Malgrat de Mar - Cooperativa","A","41,64908","2,75209","POINT (2.75209 41.64908)","Cooperativa Garbí, camí del Pla, s/n. Apt. correus 80","2","81108","Malgrat de Mar","21","Maresme","8","Barcelona","1","XEMA","1","Desmantellada","09/01/1990","04/05/2005"
"W2","Torroella de Fluvià","A","42,18259","3,05783","POINT (3.05783 42.18259)","Camp de Pla d'Avall - Camp de la Creu","7","171984","Torroella de Fluvià","2","Alt Empordà","17","Girona","1","XEMA","1","Desmantellada","14/03/2000","08/04/2014"
"W9","la Vall d'en Bas","A","42,14557","2,45451","POINT (2.45451 42.14557)","Escola Verntallat","461","172076","La Vall d'en Bas","19","Garrotxa","17","Girona","1","XEMA","2","Operativa","16/03/2000",
"CZ","Ulldemolins - Zona Esportiva","A","41,3191","0,87868","POINT (0.87868 41.3191)","Poliesportiu municipal","631","431573","Ulldemolins","29","Priorat","43","Tarragona","1","XEMA","1","Desmantellada","04/03/1996","15/04/2008"
"CL","Sant Salvador de Guardiola","A","41,67399","1,76796","POINT (1.76796 41.67399)","Urbanització Miralda","349","80983","Sant Salvador de Guardiola","7","Bages","8","Barcelona","1","XEMA","2","Operativa","02/02/1996",
"XM","els Alamús","A","41,59522","0,73507","POINT (0.73507 41.59522)","-","235","250045","Els Alamús","33","Segrià","25","Lleida","1","XEMA","2","Operativa","22/06/2011",
"VL","Seròs - la Creu","A","41,46014","0,40562","POINT (0.40562 41.46014)","Crta. de Seròs a la Granja d'Escarp","100","252043","Seròs","33","Segrià","25","Lleida","1","XEMA","1","Desmantellada","05/01/1998","15/12/2011"
"YB","Olot","A","42,18813","2,47097","POINT (2.47097 42.18813)","Pla de Dalt","433","171143","Olot","19","Garrotxa","17","Girona","1","XEMA","2","Operativa","21/07/2016",
"WY","Sant Sadurní d'Anoia - el Clot de les Comes","A","41,43386","1,79429","POINT (1.79429 41.43386)","-","164","82401","Sant Sadurní d'Anoia","3","Alt Penedès","8","Barcelona","1","XEMA","1","Desmantellada","11/04/2006","07/05/2021"
"WQ","Montsec d'Ares (1.572 m)","A","42,0513","0,72952","POINT (0.72952 42.0513)","Serra de la Corona - Centre d'Observació de l'Univers","1,572","251961","Sant Esteve de la Sarga","25","Pallars Jussà","25","Lleida","1","XEMA","2","Operativa","17/06/2003",
"VI","Lleida","A","41,62918","0,59622","POINT (0.59622 41.62918)","Av. Alcalde Rovira Roure","190","251207","Lleida","33","Segrià","25","Lleida","1","XEMA","1","Desmantellada","30/03/1990","15/06/2000"
"XZ","Torroella de Fluvià","A","42,18139","3,06202","POINT (3.06202 42.18139)",,"7","171984","Torroella de Fluvià","2","Alt Empordà","17","Girona","1","XEMA","2","Operativa","08/04/2014",
"CS","Viladrau - centre","A","41,84502","2,3881","POINT (2.3881 41.84502)","Mas del Torrent","777","172207","Viladrau","24","Osona","17","Girona","1","XEMA","1","Desmantellada","05/12/1995","08/06/2004"
"YJ","Lleida - la Femosa","A","41,58449","0,64217","POINT (0.64217 41.58449)","la Gabarrera","170","251207","Lleida","33","Segrià","25","Lleida","1","XEMA","2","Operativa","21/08/2018",
"CR","la Quar","A","42,08032","1,9624","POINT (1.9624 42.08032)","Sant Maurici","873","81770","La Quar","14","Berguedà","8","Barcelona","1","XEMA","2","Operativa","13/03/1996",
